 ,Sale,Broker,Lot #,Desc,Bales,Micron,Y,Y-Z,VM,SD1%,cln kg,Valuation,,Style,Letter Length,Letter helper,,Length ,Comment,LimitGroup,,,,Limits (COF / GSY),X,GSY,COF,Status,Buyer,Allocation
1,L36,PGD,       1,ROM LBS AA,9,30.7,64.6,1.6,0,76.3,867,734,734,734,,,,66,,L29.5,734,,,349  313  /  266  239,,2.3,3.014416776,S,MAS,
1,L36,PGD,       2,ROM 2/S AA,16,36.4,65.4,2.7,0,74.1,2130,"114 J+,OT",114 J+,114,J+,J,74,74,,128 I,128 J,,,250  242  /  185  179,,1.77,2.388663968,S,CHG,
1,L36,PGD,       3,ROM LBS AA,20,33.2,66.2,1.4,0.1,84.6,3204,738-,738-,738-,,,,68,,,,,,    /    ,,2.29,2.706855792,S,MAS,
1,L36,PGD,       4,PER 2TH 2/S AA,13,35.5,65.5,1.8,0,81.6,1956,PER113/4 M,PER113/4 M,PER113/4,M,M,75,74,WTX,127/8 J,127/8 K,,,259  250  /  211  204,x,2.05,2.512254902,S,JMCO,113/4 J
1,L36,PGD,       5,PER AA,51,34.7,67,2.2,0.3,79.5,7698,"3+ F,ST",3+ F,3+,F,F,100,94,,C121,,,,294    /  234  ,,2.04,2.566037736,S,MAS,
1,L36,PGD,       6,PER A,5,35.3,64.1,5.2,0.2,77.1,583,"3 E,OT",3 E,3,E,E,105,100,,,,,,    /    ,,1.83,2.373540856,S,WSI,
1,L36,PGD,       7,PER B/P A,5,33.1,64.8,4.1,0.1,68.5,603,602/3 K,602/3 K,602/3,K,K,58,58,,606/7 K,607 K,,,204  180  /  140  123,,1.46,2.131386861,S,MAS,
1,L36,PGD,       8,ROM H 2/S AA,13,33.9,64.9,1.8,0,80.1,1857,113/4 M,113/4 M,113/4,M,M,75,72,AT,127/8 K,,,,255    /  204  ,x,2.05,2.559300874,S,JMCO,13421
1,L36,PGD,       9,ROM LBS AA,9,30.3,66.4,0.4,0.1,80.3,1293,734,734,734,,,,64,,L29.5,734,,,381  347  /  306  279,,2.92,3.636363636,S,B+B,
1,L36,PGD,      10,ROM AA,10,34.6,66.2,1.7,0.1,75.8,1352,"3/X I,ST",3/X I,3/X,I,I,82,76,,XF,,,,224    /  170  ,,2.01,2.65171504,S,WSI,
1,L36,PGD,      11,X LBS AA,4,29.2,68.4,-0.2,0.1,77.3,538,730,730,730,,,,62,,726,730,,,411  411  /  318  318,,3.16,4.087968952,S,STD,
1,L36,PGD,      12,X LBS AA,3,31.5,67.8,1.3,0.2,78.2,361,734,734,734,,,,66,,L29.5,734,,,320  275  /  250  215,,2.07,2.647058824,S,FUHR,
1,L36,PGD,      13,X AA,15,36.1,67.1,1.7,0.1,73.2,1964,"113/4 J,OT",113/4 J,113/4,J,J,74,74,AT,127/8 J,127/8 K,,,254  249  /  186  182,x,1.88,2.568306011,S,FUHR,
1,L36,PGD,      14,X LBS AA,17,29.3,68,0.3,0.2,74.7,2251,730 OBF,730,730,,,,58,,,,,,    /    ,,2.84,3.801874163,S,MAS,
1,L36,PGD,      15,1/2 2/S AA,14,26.4,68.4,0.7,0.8,68.6,1655,2,2,2,,,,62,"V2, BLOS",,,,,    /    ,x 500/343+,3.66,5.335276968,P,GM,
1,L36,PGD,      16,DN X MER LBS 3A,6,22.6,68.2,-0.8,0.5,74.7,765,722 BF,722 BF,722,BF,B,,50,V2,,,,,    /    ,,6.51,8.714859438,S,FUHR,
1,L36,PGD,      17,LANACO SUPF LBA,4,26.1,68.4,-0.4,1.1,75,446,726,726,726,,,,52,VM,,,,,    /    ,,3,4,P,FUHR,
2,L36,PGD,      18,X AA,12,36,62.9,4,0,74.2,1615,WITHDRAWN,WITHDRAWN,WITHDRAWN,,,,88,,128-G,128/9 G,,,240  232  /  178  172,,,,,,
2,L36,PGD,      19,X H AA,26,33.3,61.7,4.8,0.2,81.1,3818,3- F,3- F,3-,F,F,100,102,,,,,,    /    ,,2.01,2.478421702,P,WSI,
2,L36,PGD,      20,X 2TH AA,9,32.4,64,4.2,0.1,77.9,1272,3- F+,3- F+,3-,F+,F,100,104,,,,,,    /    ,,2.27,2.913992298,S,MAS,
2,L36,PGD,      21,X AA,51,35.4,63,4.1,0,75.7,6970,"128- G+,OT",128- G+,128-,G+,G,90,90,,128-G,128/9 G,,,243  232  /  184  176,,1.85,2.443857332,S,WSI,
2,L36,PGD,      22,X AA,41,35,63.9,4,0.2,77.5,5813,"128- G/F,OT",128- G/F,128-,G/F,G,90,92,,128-G,128/9 G,,,244  234  /  189  181,,1.91,2.464516129,S,MAS,
2,L36,PGD,      23,X AA,46,34.9,61.8,4.9,0.1,77.3,6519,"128/9+ G/F,OT",128/9+ G/F,128/9+,G/F,G,90,94,,,,,,    /    ,,1.88,2.432082794,S,WSI,
2,L36,PGD,      24,X A,6,36.1,60.3,5.7,0.1,77.6,864,"4 F/E,OT",4 F/E,4,F/E,F,100,102,,128/9D,128/9F,,,237  233  /  184  181,,1.83,2.358247423,S,FUHR,
2,L36,PGD,      25,X E FLC,34,34.1,61.3,7,0.1,76.6,4447,"128/9 G+,OT",128/9 G+,128/9,G+,G,90,95,,,,,,    /    ,,1.88,2.454308094,S,WSI,
2,L36,PGD,      26,X COTT A,12,35.2,60.7,7.2,0.1,75.9,1652,"Y G,OT",Y G,Y,G,G,90,88,,,,,,    /    ,,1.62,2.134387352,S,FUHR,
2,L36,PGD,      27,X NKS A,5,32.6,61.1,4.1,0.7,80.3,671,N3- G,N3- G,N3-,G,G,90,86,,,,,,    /    ,,1.9,2.366127024,S,WSI,
2,L36,PGD,      28,X PCS A,16,33.2,55.8,9.3,0.1,69.6,1956,521/2 G,521/2 G,521/2,G,G,90,88,89,607/8 G,,,,204    /  142  ,,1.06,1.522988506,S,WSI,
2,L36,PGD,      29,X BLS A,14,36.3,50.4,11.1,0.1,61.6,1631,652 I/G,652 I/G,652,I/G,I,82,82,,607/8 I,608 I,,,180  140  /  111  86,,0.89,1.444805195,S,MAS,
2,L36,PGD,      30,X B/P A,6,32.9,56.1,9.9,0.2,65.9,700,603/4 G,603/4 G,603/4,G,G,80,84,1078,,,,,    /    ,,1.19,1.805766313,S,FUHR,
2,L36,PGD,      31,X LBS CRT A,4,31.5,59.1,3.5,0,69.4,409,908/9 K,908/9 K,908/9,K,K,68,68,D1,,,,,    /    ,,1.08,1.556195965,P,WSI,
2,L36,PGD,      32,X LOXS A,11,34.4,52.1,8.7,0,65.7,1287,549/70 K-,549/70 K-,549/70,K-,K,68,68,608+,607/8 K,,,,175    /  115  ,,1.15,1.750380518,S,MAS,
2,L36,PGD,      33,X FRIBS,4,34.4,41.2,13.4,0.1,61.3,417,Y652 J,Y652 J,Y652,J,J,74,74,LM,608 J,,,,131    /  80  ,,0.58,0.946166395,S,WSI,
3,C36,PGD,    3001,COR LBS A,13,24,70.5,-1.7,0.8,67.7,1424,721,721,721,,,,60,VM,,,,,    /    ,,6,8.862629247,S,STD,
3,C36,PGD,    3002,DNX LBS A,9,25.6,68,-0.1,0.7,70.5,837,726 BF,726 BF,726,BF,B,,48,VM,,,,,    /    ,,4,5.673758865,S,FUHR,
3,C36,PGD,    3003,COR LBS A,3,24.9,66.3,-0.6,0.4,63.7,369,721/2,721/2,721/2,,,,46,V2,721,,,,1030    /  656  ,,5.6,8.791208791,S,CHG,
3,C36,PGD,    3004,X A,10,34.1,65,4.7,0.8,66.8,1124,"114- G,ST",114- G,114-,G,G,90,90,"V3,D",,,,,    /    ,,1.63,2.44011976,S,WSI,
3,C36,PGD,    3005,ROM A,5,35.9,65.6,2.6,0.1,73.2,562,"114 I/G,OT",114 I/G,114,I/G,I,82,86,,128 G,128 I,,,254  254  /  186  186,,1.87,2.554644809,S,WSI,
3,C36,PGD,    3006,COR LBS A,6,23.8,69.9,-1.5,0.3,69.2,622,721,721,721,,,,56,V1,721,,,,1220    /  844  ,,7.55,10.91040462,S,CHG,
3,C36,PGD,    3007,X A,10,36.6,62.6,6.5,0.5,73.9,885,"4 F,OT",4 F,4,F,F,100,98,V2,,,,,    /    ,,1.75,2.368064953,S,FUHR,
3,C36,PGD,    3008,M ROM AA,18,35.6,66.3,1.5,0.3,77.6,2652,"114+ I/G,OT",114+ I/G,114+,I/G,I,82,90,,127/8 G,127/8 I,,,269  265  /  209  206,,1.99,2.56443299,S,WSI,
3,C36,PGD,    3009,ROM B/P A,5,34.9,63.9,5.7,0.6,65.8,480,607+ I,607+ I,607+,I,I,72,70,89+,,,,,    /    ,,1.28,1.945288754,S,B+B,
3,C36,PGD,    3010,X LBS A,4,29.3,68.1,-0.1,0.1,77.8,573,730,730,730,,,,60,,726,730,,,407  407  /  317  317,x,3.19,4.100257069,S,B+B,
3,C36,PGD,    3011,1/2 LBS A,18,26.4,67.5,0.3,0.2,76.3,1653,726- OBF,726-,726-,,,,56,,,,,,    /    ,,4,5.242463958,S,CHG,
3,C36,PGD,    3012,X H A,8,32.8,65.7,2.4,0.1,80,764,107 M,107 M,107,M,M,75,75,,,,,,    /    ,,1.95,2.4375,P,WSI,
3,C36,PGD,    3013,ROM LBS A,4,31,68.6,0.1,0.2,74.9,525,WITHDRAWN,WITHDRAWN,WITHDRAWN,,,,62,,734,,,,280    /  210  ,,,,,,
3,C36,PGD,    3014,X LBS A,17,29.2,67.3,0.4,0.1,78.8,2337,730,730,730,,,,64,,L29.5,726,,,434  412  /  342  325,,3.3,4.187817259,S,B+B,
4,C36,PGD,    3018,ROM LBS A,12,29,67.8,0,0.2,76.2,1695,730,730,730,,,,62,,726,730,,,420  420  /  320  320,,3.12,4.094488189,S,CHG,
4,C36,PGD,    3019,X A,4,33.3,66.2,1.9,0.5,72.7,360,PER106/7 M,PER106/7 M,PER106/7,M,M,75,75,V2,,,,,    /    ,,1.84,2.530949106,S,MAS,
4,C36,PGD,    3020,X A,17,34.2,65.3,1.7,0.4,74.7,2369,"114+ I,OT",114+ I,114+,I,I,82,80,,107 G,128 I,,,304  266  /  227  199,,1.93,2.583668005,S,FUHR,
4,C36,PGD,    3021,X DAGWOOL 144,50,35.3,47,9.9,0,71,4641,,,,,,,,"CHIP, AV/POOR",,,,,    /    ,,0.41,0.577464789,P,FUHR,
